RELEASE_YEAR,PROD_COMPANY_NAME,BUDGET,REVENUE,PROFIT,POPULARITY,N_ANIMATION,N_COMEDY,N_FAMILY,N_ADVENTURE,N_FANTASY,N_DRAMA,N_ROMANCE,N_ACTION,N_CRIME,N_THRILLER,N_HISTORY,N_SCIENCE_FICTION,N_MYSTERY,N_HORROR,N_WAR,N_FOREIGN,N_DOCUMENTARY,N_WESTERN,N_MUSIC,N_TV_MOVIE
1940,Walt Disney Pictures,6840000,249960000,243120000,8.03796,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1940,Walt Disney Productions,5200000,168600000,163400000,14.202284,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1941,Mercury Productions,1679454,46435348,44755894,15.811921,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1941,RKO Radio Pictures,5509454,58635348,53125894,12.042758666666666,1,0,1,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0
1941,Twentieth Century Fox Film Corporation,1250000,6000000,4750000,9.058578,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1941,Walt Disney Productions,1624000,3200000,1576000,14.655879,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1941,Warner Bros.,6725000,68447540,61722540,4.384801142857143,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0
1942,Frank Lloyd Productions,1610000,5200000,3590000,1.48335,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
1942,Metro-Goldwyn-Mayer (MGM),6438000,53613000,47175000,4.736043,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,1,0
1942,RKO Radio Pictures,402000,12000000,11598000,5.110716,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1942,Universal Pictures,1610000,5200000,3590000,1.48335,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
1942,Walt Disney Productions,2574000,802341450,799767450,13.698132,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1942,Warner Bros.,1756000,20925000,19169000,13.916101,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1943,Metro-Goldwyn-Mayer (MGM),1324282,3213248,1888966,1.233446,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1943,Paramount Pictures,1710000,2400000,690000,1.121417,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1944,Metro-Goldwyn-Mayer (MGM),12603000,29873000,17270000,0.7134286,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0
1944,Paramount Pictures,2781786,7500000,4718214,6.494319999999999,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
1944,Twentieth Century Fox Film Corporation,14020000,12000000,-2020000,3.8102260000000006,0,0,0,0,0,2,1,0,0,0,1,0,1,0,0,0,0,0,1,0
1945,"Diana Productions, Inc.",1202007,2948386,1746379,6.360746,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1945,Fritz Lang Productions,1202007,2948386,1746379,6.360746,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1945,Metro-Goldwyn-Mayer (MGM),2160000,9132000,6972000,0.230534,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1945,Paramount,1250000,11000000,9750000,8.731331,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1945,Selznick International Pictures,4500000,21000000,16500000,5.47596,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
1945,Warner Bros.,2906000,11276000,8370000,4.497049,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
