RELEASE_YEAR,GENRE,BUDGET,REVENUE,PROFIT,POPULARITY
1960,History,28000000,89650000,61650000,23.668117
1960,Horror,1226948,33533957,32307009,47.537884000000005
1960,Romance,6151000,40100000,33949000,16.268510000000003
1960,Thriller,1226948,33533957,32307009,47.537884000000005
1960,War,4000000,21750000,17750000,7.819581
1960,Western,14000000,12805000,-1195000,15.388912000000001
1961,Action,16000000,41400000,25400000,20.786102999999997
1961,Adventure,11580000,251780014,240200014,27.263776
1961,Animation,4000000,215880014,211880014,15.727519
1961,Comedy,12560000,234480669,221920669,36.73220500000001
1961,Crime,6000000,43656822,37656822,8.389903
1961,Drama,34877000,140640829,105763829,71.34254
1961,Family,7000000,219880014,212880014,18.772018
1961,Fantasy,200000,2000000,1800000,4.392322
1961,History,3000000,10000000,7000000,9.697105
1961,Horror,200000,2000000,1800000,4.392322
1961,Music,6000000,43656822,37656822,8.389903
1961,Romance,8160000,22000655,13840655,21.686338999999997
1961,Science Fiction,1580000,7000000,5420000,3.013584
1961,War,6000000,28900000,22900000,8.522673
1961,Western,6000000,4300000,-1700000,6.945886
1962,Action,10950000,109700000,98750000,30.702534
1962,Adventure,49950000,193275385,143325385,43.964147
1962,Crime,2000000,13129846,11129846,14.284787
1962,Drama,51214000,161779748,110565748,71.50401799999999
1962,History,59000000,183775385,124775385,34.803469
1962,Horror,15000,3274,-11726,1.274228
1962,Mystery,80000000,96105910,16105910,7.991677
1962,Romance,2000000,9250000,7250000,9.551293
1962,Thriller,80950000,155705910,74755910,27.923282999999998
1962,War,25000000,120095385,95095385,21.66426
1962,Western,18200000,58000000,39800000,13.923548
1963,Action,30900000,158898765,127998765,33.302088
1963,Adventure,19086000,194843236,175757236,45.423471
1963,Animation,3000000,22182353,19182353,10.636458
1963,Comedy,17436000,119173863,101737863,30.418872999999998
1963,Crime,9400000,60000000,50600000,13.266545
1963,Drama,55515000,103272899,47757899,38.017503
1963,Family,3000000,22182353,19182353,10.636458
1963,Fantasy,350000,1499275,1149275,4.817514
1963,History,53115000,130344471,77229471,29.263708
1963,Horror,2874500,16902804,14028304,18.192387999999998
1963,Mystery,4000000,13474588,9474588,7.098731
1963,Romance,38801000,128674588,89873588,20.926052
1963,Thriller,10000000,104117824,94117824,34.019574
1963,War,4000000,11744471,7744471,14.384114
1963,Western,2500000,10000000,7500000,4.526285
1964,Action,11800000,139681062,127881062,29.805646
1964,Adventure,2500000,124881062,122381062,13.78884
1964,Comedy,8360000,124012667,115652667,30.638735999999998
1964,Crime,2255161,7182857,4927696,12.057281
1964,Drama,52355161,120243860,67888699,55.757282
1964,Family,23000000,174343458,151343458,27.609884
1964,Fantasy,6000000,102272727,96272727,15.11549
1964,History,22500000,12750000,-9750000,14.428609
1964,Music,17560000,84370399,66810399,18.21366
1964,Mystery,2135161,7000000,4864839,6.409094
1964,Romance,20120000,84253588,64133588,20.703035
1964,Thriller,10435161,138681062,128245901,24.610498
1964,War,30100000,28990272,-1109728,28.645152999999997
1964,Western,200000,14500000,14300000,12.429704
1965,Action,11100000,171145658,160045658,15.70926
1965,Adventure,23100000,196478991,173378991,20.182586999999998
1965,Comedy,17600000,55283333,37683333,9.664752
1965,Drama,40000000,420337982,380337982,23.980241
1965,Family,8200000,286214286,278014286,9.06773
1965,History,20000000,15473333,-4526667,3.961342
1965,Music,8200000,286214286,278014286,9.06773
1965,Romance,20000000,404864649,384864649,20.018898999999998
1965,Thriller,5500000,141195658,135695658,10.517835
1965,War,14800000,111873236,97073236,11.545435000000001
1965,Western,4400000,15014873,10614873,16.351278
1966,Action,15500000,32000000,16500000,19.913557
1966,Adventure,32115000,66562222,34447222,27.10335
1966,Crime,3500000,12000000,8500000,8.55931
1966,Drama,42700000,129570459,86870459,47.008605
1966,History,4700000,29271548,24571548,18.320061
1966,Horror,280379,364937,84558,8.913793
1966,Mystery,6500000,25000000,18500000,14.802558000000001
1966,Romance,27000000,54562222,27562222,14.56494
1966,Science Fiction,5115000,12000000,6885000,12.53841
1966,Thriller,6500000,25000000,18500000,14.802558000000001
